1,Massachusetts,0.63
2,Rhode Island,0.64
3,Minnesota,0.66
4,New Jersey,0.78
5,New York,0.83
6,Vermont,0.84
7,Maryland,0.85
8,Washington,0.88
9,Utah,0.89
10,Virginia,0.90
11,Connecticut,0.93
12,Wisconsin,0.95
13,Ohio,0.95
14,Indiana,0.99
15,New Hampshire,1.01
16,Illinois,1.01
17,Nebraska,1.05
18,California,1.07
19,Michigan,1.07
20,Maine,1.09
21,Hawaii,1.13
22,North Dakota,1.16
23,Colorado,1.17
24,Delaware,1.17
25,Pennsylvania,1.17
26,Wyoming,1.20
27,Iowa,1.21
28,South Dakota,1.22
29,Nevada,1.22
30,North Carolina,1.24
31,Georgia,1.27
32,Missouri,1.28
33,Kansas,1.34
34,Oregon,1.35
35,Tennessee,1.35
36,West Virginia,1.38
37,Texas,1.39
38,Oklahoma,1.39
39,New Mexico,1.44
40,Arizona,1.46
41,Idaho,1.47
42,Florida,1.47
43,Alabama,1.50
44,Montana,1.51
45,Arkansas,1.52
46,Louisiana,1.54
47,Alaska,1.60
48,Kentucky,1.69
49,Mississippi,1.69
50,South Carolina,1.86
,Weighted Average,1.18
